Set,Class,Samples,Percentage
Training,Positive,435,69.04761904761905
Training,Negative,195,30.952380952380953
Validation,Positive,48,68.57142857142857
Validation,Negative,22,31.428571428571427
Total,Training,630,100.0
Total,Validation,70,100.0
