Set,Class,Samples,Percentage
Training,Positive,2990,66.44444444444444
Training,Negative,1510,33.55555555555556
Validation,Positive,333,66.60000000000001
Validation,Negative,167,33.4
Total,Training,4500,100.0
Total,Validation,500,100.0
