Set,Class,Samples,Percentage
Training,Positive,3027,67.26666666666667
Training,Negative,1473,32.733333333333334
Validation,Positive,337,67.4
Validation,Negative,163,32.6
Total,Training,4500,100.0
Total,Validation,500,100.0
